time,altitude,latitude,longitude,chlor_a
UTC,m,degrees_north,degrees_east,mg m^-3
2020-01-01T12:00:00Z,0.0,31.40625,-80.94375,2.9725926
2020-01-01T12:00:00Z,0.0,31.40625,-80.90624999999999,2.280315
2020-01-01T12:00:00Z,0.0,31.40625,-80.86874999999999,1.7576326
2020-01-01T12:00:00Z,0.0,31.40625,-80.83125,1.6404202
2020-01-01T12:00:00Z,0.0,31.36875,-80.94375,3.0255399
2020-01-01T12:00:00Z,0.0,31.36875,-80.90624999999999,2.5535886
2020-01-01T12:00:00Z,0.0,31.36875,-80.86874999999999,1.7898973
2020-01-01T12:00:00Z,0.0,31.36875,-80.83125,1.6105503
2020-02-01T12:00:00Z,0.0,31.40625,-80.94375,3.049739
2020-02-01T12:00:00Z,0.0,31.40625,-80.90624999999999,2.890184
2020-02-01T12:00:00Z,0.0,31.40625,-80.86874999999999,2.3347602
2020-02-01T12:00:00Z,0.0,31.40625,-80.83125,2.104018
2020-02-01T12:00:00Z,0.0,31.36875,-80.94375,3.2539332
2020-02-01T12:00:00Z,0.0,31.36875,-80.90624999999999,2.501021
2020-02-01T12:00:00Z,0.0,31.36875,-80.86874999999999,2.1928966
2020-02-01T12:00:00Z,0.0,31.36875,-80.83125,1.9548323
2020-03-01T12:00:00Z,0.0,31.40625,-80.94375,4.0103784
2020-03-01T12:00:00Z,0.0,31.40625,-80.90624999999999,4.2636786
2020-03-01T12:00:00Z,0.0,31.40625,-80.86874999999999,2.856358
2020-03-01T12:00:00Z,0.0,31.40625,-80.83125,2.772869
2020-03-01T12:00:00Z,0.0,31.36875,-80.94375,4.7179255
2020-03-01T12:00:00Z,0.0,31.36875,-80.90624999999999,3.7953646
2020-03-01T12:00:00Z,0.0,31.36875,-80.86874999999999,2.9864244
2020-03-01T12:00:00Z,0.0,31.36875,-80.83125,3.2232747
2020-04-01T12:00:00Z,0.0,31.40625,-80.94375,3.184517
2020-04-01T12:00:00Z,0.0,31.40625,-80.90624999999999,3.3875704
2020-04-01T12:00:00Z,0.0,31.40625,-80.86874999999999,2.2984312
2020-04-01T12:00:00Z,0.0,31.40625,-80.83125,2.2492266
2020-04-01T12:00:00Z,0.0,31.36875,-80.94375,3.4890735
2020-04-01T12:00:00Z,0.0,31.36875,-80.90624999999999,2.617943
2020-04-01T12:00:00Z,0.0,31.36875,-80.86874999999999,2.4059954
2020-04-01T12:00:00Z,0.0,31.36875,-80.83125,2.1493695
2020-05-01T12:00:00Z,0.0,31.40625,-80.94375,4.4631424
2020-05-01T12:00:00Z,0.0,31.40625,-80.90624999999999,3.939805
2020-05-01T12:00:00Z,0.0,31.40625,-80.86874999999999,2.994147
2020-05-01T12:00:00Z,0.0,31.40625,-80.83125,2.7646284
2020-05-01T12:00:00Z,0.0,31.36875,-80.94375,4.113967
2020-05-01T12:00:00Z,0.0,31.36875,-80.90624999999999,3.5738904
2020-05-01T12:00:00Z,0.0,31.36875,-80.86874999999999,3.017107
2020-05-01T12:00:00Z,0.0,31.36875,-80.83125,2.8012865
2020-06-01T12:00:00Z,0.0,31.40625,-80.94375,3.2847788
2020-06-01T12:00:00Z,0.0,31.40625,-80.90624999999999,1.3841919
2020-06-01T12:00:00Z,0.0,31.40625,-80.86874999999999,1.4532981
2020-06-01T12:00:00Z,0.0,31.40625,-80.83125,2.1676128
2020-06-01T12:00:00Z,0.0,31.36875,-80.94375,2.3462543
2020-06-01T12:00:00Z,0.0,31.36875,-80.90624999999999,1.3533796
2020-06-01T12:00:00Z,0.0,31.36875,-80.86874999999999,1.811651
2020-06-01T12:00:00Z,0.0,31.36875,-80.83125,1.7461448
2020-07-01T12:00:00Z,0.0,31.40625,-80.94375,1.5615915
2020-07-01T12:00:00Z,0.0,31.40625,-80.90624999999999,1.5538019
2020-07-01T12:00:00Z,0.0,31.40625,-80.86874999999999,1.3995075
2020-07-01T12:00:00Z,0.0,31.40625,-80.83125,1.2589254
2020-07-01T12:00:00Z,0.0,31.36875,-80.94375,1.7284459
2020-07-01T12:00:00Z,0.0,31.36875,-80.90624999999999,1.6038136
2020-07-01T12:00:00Z,0.0,31.36875,-80.86874999999999,1.3964814
2020-07-01T12:00:00Z,0.0,31.36875,-80.83125,1.2648633
2020-08-01T12:00:00Z,0.0,31.40625,-80.94375,1.0357935
2020-08-01T12:00:00Z,0.0,31.40625,-80.90624999999999,0.95265985
2020-08-01T12:00:00Z,0.0,31.40625,-80.86874999999999,0.7682323
2020-08-01T12:00:00Z,0.0,31.40625,-80.83125,0.79398775
2020-08-01T12:00:00Z,0.0,31.36875,-80.94375,1.0632335
2020-08-01T12:00:00Z,0.0,31.36875,-80.90624999999999,0.84950507
2020-08-01T12:00:00Z,0.0,31.36875,-80.86874999999999,0.79644006
2020-08-01T12:00:00Z,0.0,31.36875,-80.83125,0.7621762
2020-09-01T12:00:00Z,0.0,31.40625,-80.94375,2.0829215
2020-09-01T12:00:00Z,0.0,31.40625,-80.90624999999999,2.0565023
2020-09-01T12:00:00Z,0.0,31.40625,-80.86874999999999,1.511496
2020-09-01T12:00:00Z,0.0,31.40625,-80.83125,1.308426
2020-09-01T12:00:00Z,0.0,31.36875,-80.94375,1.9810352
2020-09-01T12:00:00Z,0.0,31.36875,-80.90624999999999,1.6191446
2020-09-01T12:00:00Z,0.0,31.36875,-80.86874999999999,1.3728724
2020-09-01T12:00:00Z,0.0,31.36875,-80.83125,1.1506475
2020-10-01T12:00:00Z,0.0,31.40625,-80.94375,1.4388161
