time,latitude,longitude,Kd_490
UTC,degrees_north,degrees_east,m-1
2020-01-16T00:00:00Z,31.437498,-80.9375,0.2274
2020-01-16T00:00:00Z,31.437498,-80.89583,0.2194
2020-01-16T00:00:00Z,31.437498,-80.854164,0.1876
2020-01-16T00:00:00Z,31.437498,-80.8125,0.1694
2020-01-16T00:00:00Z,31.395832,-80.9375,0.2254
2020-01-16T00:00:00Z,31.395832,-80.89583,0.205
2020-01-16T00:00:00Z,31.395832,-80.854164,0.1812
2020-01-16T00:00:00Z,31.395832,-80.8125,0.1582
2020-01-16T00:00:00Z,31.354164,-80.9375,0.228
2020-01-16T00:00:00Z,31.354164,-80.89583,0.2028
2020-01-16T00:00:00Z,31.354164,-80.854164,0.1766
2020-01-16T00:00:00Z,31.354164,-80.8125,0.1544
2020-02-16T00:00:00Z,31.437498,-80.9375,0.2206
2020-02-16T00:00:00Z,31.437498,-80.89583,0.1946
2020-02-16T00:00:00Z,31.437498,-80.854164,0.1798
2020-02-16T00:00:00Z,31.437498,-80.8125,0.1614
2020-02-16T00:00:00Z,31.395832,-80.9375,0.2054
2020-02-16T00:00:00Z,31.395832,-80.89583,0.1846
2020-02-16T00:00:00Z,31.395832,-80.854164,0.1678
2020-02-16T00:00:00Z,31.395832,-80.8125,0.1542
2020-02-16T00:00:00Z,31.354164,-80.9375,0.2046
2020-02-16T00:00:00Z,31.354164,-80.89583,0.1838
2020-02-16T00:00:00Z,31.354164,-80.854164,0.1686
2020-02-16T00:00:00Z,31.354164,-80.8125,0.1554
2020-03-16T00:00:00Z,31.437498,-80.9375,0.329
2020-03-16T00:00:00Z,31.437498,-80.89583,0.2766
2020-03-16T00:00:00Z,31.437498,-80.854164,0.2462
2020-03-16T00:00:00Z,31.437498,-80.8125,0.223
2020-03-16T00:00:00Z,31.395832,-80.9375,0.3142
2020-03-16T00:00:00Z,31.395832,-80.89583,0.2748
2020-03-16T00:00:00Z,31.395832,-80.854164,0.2492
2020-03-16T00:00:00Z,31.395832,-80.8125,0.2256
2020-03-16T00:00:00Z,31.354164,-80.9375,0.3192
2020-03-16T00:00:00Z,31.354164,-80.89583,0.2736
2020-03-16T00:00:00Z,31.354164,-80.854164,0.2492
2020-03-16T00:00:00Z,31.354164,-80.8125,0.2226
2020-04-16T00:00:00Z,31.437498,-80.9375,0.3434
2020-04-16T00:00:00Z,31.437498,-80.89583,0.2998
2020-04-16T00:00:00Z,31.437498,-80.854164,0.294
2020-04-16T00:00:00Z,31.437498,-80.8125,0.2638
2020-04-16T00:00:00Z,31.395832,-80.9375,0.3008
2020-04-16T00:00:00Z,31.395832,-80.89583,0.2732
2020-04-16T00:00:00Z,31.395832,-80.854164,0.2482
2020-04-16T00:00:00Z,31.395832,-80.8125,0.2334
2020-04-16T00:00:00Z,31.354164,-80.9375,0.306
2020-04-16T00:00:00Z,31.354164,-80.89583,0.2838
2020-04-16T00:00:00Z,31.354164,-80.854164,0.2662
2020-04-16T00:00:00Z,31.354164,-80.8125,0.2468
2020-05-16T00:00:00Z,31.437498,-80.9375,0.4504
2020-05-16T00:00:00Z,31.437498,-80.89583,0.343
2020-05-16T00:00:00Z,31.437498,-80.854164,0.3242
2020-05-16T00:00:00Z,31.437498,-80.8125,0.284
2020-05-16T00:00:00Z,31.395832,-80.9375,0.419
2020-05-16T00:00:00Z,31.395832,-80.89583,0.347
2020-05-16T00:00:00Z,31.395832,-80.854164,0.3176
2020-05-16T00:00:00Z,31.395832,-80.8125,0.2898
2020-05-16T00:00:00Z,31.354164,-80.9375,0.3786
2020-05-16T00:00:00Z,31.354164,-80.89583,0.3296
2020-05-16T00:00:00Z,31.354164,-80.854164,0.2906
2020-05-16T00:00:00Z,31.354164,-80.8125,0.2626
2020-06-16T00:00:00Z,31.437498,-80.9375,0.215
2020-06-16T00:00:00Z,31.437498,-80.89583,0.1922
2020-06-16T00:00:00Z,31.437498,-80.854164,0.1862
2020-06-16T00:00:00Z,31.437498,-80.8125,0.1772
2020-06-16T00:00:00Z,31.395832,-80.9375,0.1848
2020-06-16T00:00:00Z,31.395832,-80.89583,0.1704
2020-06-16T00:00:00Z,31.395832,-80.854164,0.1622
2020-06-16T00:00:00Z,31.395832,-80.8125,0.1554
2020-06-16T00:00:00Z,31.354164,-80.9375,0.1648
2020-06-16T00:00:00Z,31.354164,-80.89583,0.158
2020-06-16T00:00:00Z,31.354164,-80.854164,0.1488
2020-06-16T00:00:00Z,31.354164,-80.8125,0.143
2020-07-16T00:00:00Z,31.437498,-80.9375,0.1726
2020-07-16T00:00:00Z,31.437498,-80.89583,0.1494
2020-07-16T00:00:00Z,31.437498,-80.854164,0.1336
2020-07-16T00:00:00Z,31.437498,-80.8125,0.1216
2020-07-16T00:00:00Z,31.395832,-80.9375,0.17
2020-07-16T00:00:00Z,31.395832,-80.89583,0.15
2020-07-16T00:00:00Z,31.395832,-80.854164,0.1328
2020-07-16T00:00:00Z,31.395832,-80.8125,0.119
2020-07-16T00:00:00Z,31.354164,-80.9375,0.164
2020-07-16T00:00:00Z,31.354164,-80.89583,0.149
2020-07-16T00:00:00Z,31.354164,-80.854164,0.1328
2020-07-16T00:00:00Z,31.354164,-80.8125,0.1166
2020-09-16T00:00:00Z,31.437498,-80.9375,0.1866
2020-09-16T00:00:00Z,31.437498,-80.89583,0.158
2020-09-16T00:00:00Z,31.437498,-80.854164,0.1384
2020-09-16T00:00:00Z,31.437498,-80.8125,0.1236
2020-09-16T00:00:00Z,31.395832,-80.9375,0.1728
