time,sea_surface_temperature,sea_surface_temperature_anomaly
1985-01-01 12:00:00,19.511666666666667,1.095
1985-02-01 12:00:00,18.786666666666665,1.1416666666666666
1985-03-01 12:00:00,17.923333333333332,0.7683333333333334
1985-04-01 12:00:00,18.976666666666667,-0.0999999999999999
1985-05-01 12:00:00,23.175,0.4333333333333333
1985-06-01 12:00:00,26.62333333333333,0.6483333333333333
1985-07-01 12:00:00,27.756666666666664,-0.0383333333333333
1985-08-01 12:00:00,27.90833333333333,-0.2483333333333333
1985-09-01 12:00:00,26.771666666666665,-0.32
1985-10-01 12:00:00,24.988333333333333,0.9433333333333334
1985-11-01 12:00:00,22.42833333333333,1.3583333333333334
1985-12-01 12:00:00,19.94333333333333,0.9083333333333332
1986-01-01 12:00:00,19.47,1.0533333333333337
1986-02-01 12:00:00,18.65833333333333,1.0116666666666667
1986-03-01 12:00:00,17.17833333333333,0.0233333333333333
1986-04-01 12:00:00,19.31833333333333,0.2383333333333333
1986-05-01 12:00:00,22.58833333333333,-0.1433333333333333
1986-06-01 12:00:00,27.03333333333333,1.05
1986-07-01 12:00:00,28.646666666666665,0.8516666666666667
1986-08-01 12:00:00,27.83333333333333,-0.3233333333333333
1986-09-01 12:00:00,27.276666666666667,0.1883333333333333
1986-10-01 12:00:00,25.855,1.8083333333333331
1986-11-01 12:00:00,22.35833333333333,1.288333333333333
1986-12-01 12:00:00,20.975,1.9433333333333331
1987-01-01 12:00:00,19.616666666666667,1.2016666666666669
1987-02-01 12:00:00,18.846666666666668,1.1916666666666669
1987-03-01 12:00:00,16.584999999999997,-0.5683333333333334
1987-04-01 12:00:00,17.576666666666668,-1.5033333333333332
1987-05-01 12:00:00,22.538333333333338,-0.1933333333333333
1987-06-01 12:00:00,26.563333333333333,0.5833333333333334
1987-07-01 12:00:00,28.08333333333333,0.2883333333333333
1987-08-01 12:00:00,29.286666666666665,1.13
1987-09-01 12:00:00,28.44,1.35
1987-10-01 12:00:00,23.21666666666667,-0.8250000000000001
1987-11-01 12:00:00,20.296666666666667,-0.7733333333333334
1987-12-01 12:00:00,18.81833333333333,-0.2133333333333333
1988-01-01 12:00:00,18.186666666666667,-0.225
1988-02-01 12:00:00,18.346666666666668,0.7083333333333334
1988-03-01 12:00:00,16.065,-1.08
1988-04-01 12:00:00,18.611666666666668,-0.4616666666666666
1988-05-01 12:00:00,21.5,-1.2383333333333333
1988-06-01 12:00:00,24.701666666666668,-1.275
1988-07-01 12:00:00,27.09,-0.7033333333333333
1988-08-01 12:00:00,28.65333333333333,0.4933333333333333
1988-09-01 12:00:00,27.275,0.1833333333333333
1988-10-01 12:00:00,23.046666666666667,-0.9966666666666668
1988-11-01 12:00:00,20.365,-0.705
1988-12-01 12:00:00,18.58,-0.4466666666666667
1989-01-01 12:00:00,18.225,-0.185
1989-02-01 12:00:00,18.15833333333333,0.5066666666666667
1989-03-01 12:00:00,16.911666666666665,-0.24
1989-04-01 12:00:00,19.04833333333333,-0.0283333333333333
1989-05-01 12:00:00,22.58333333333333,-0.1516666666666666
1989-06-01 12:00:00,26.166666666666668,0.19
1989-07-01 12:00:00,27.605,-0.1899999999999999
1989-08-01 12:00:00,27.80666666666667,-0.35
1989-09-01 12:00:00,27.418333333333333,0.3283333333333333
1989-10-01 12:00:00,24.051666666666662,0.005
1989-11-01 12:00:00,20.69833333333333,-0.3699999999999999
1989-12-01 12:00:00,17.658333333333335,-1.3733333333333333
1990-01-01 12:00:00,17.093333333333334,-1.3166666666666669
1990-02-01 12:00:00,17.13,-0.5166666666666667
1990-03-01 12:00:00,18.15833333333333,1.0016666666666667
1990-04-01 12:00:00,19.82,0.7366666666666667
1990-05-01 12:00:00,23.666666666666668,0.925
1990-06-01 12:00:00,26.638333333333332,0.6633333333333333
1990-07-01 12:00:00,28.131666666666664,0.3366666666666666
1990-08-01 12:00:00,28.956666666666667,0.7933333333333333
1990-09-01 12:00:00,28.75333333333333,1.6616666666666664
1990-10-01 12:00:00,25.625,1.5766666666666669
1990-11-01 12:00:00,21.16,0.085
1990-12-01 12:00:00,19.473333333333333,0.4333333333333333
1991-01-01 12:00:00,19.148333333333333,0.735
1991-02-01 12:00:00,18.01,0.3616666666666666
1991-03-01 12:00:00,17.088333333333335,-0.0666666666666666
1991-04-01 12:00:00,20.08,0.9983333333333334
1991-05-01 12:00:00,24.77,2.0316666666666667
1991-06-01 12:00:00,26.30333333333333,0.3233333333333333
1991-07-01 12:00:00,28.36,0.5566666666666666
1991-08-01 12:00:00,28.15,-0.0066666666666666
1991-09-01 12:00:00,27.53333333333333,0.44
1991-10-01 12:00:00,23.511666666666667,-0.5316666666666666
1991-11-01 12:00:00,20.60333333333333,-0.4616666666666666
1991-12-01 12:00:00,19.19333333333333,0.16
1992-01-01 12:00:00,17.458333333333332,-0.945
1992-02-01 12:00:00,15.915,-1.721666666666667
1992-03-01 12:00:00,16.745,-0.4016666666666666
1992-04-01 12:00:00,18.848333333333333,-0.2266666666666666
1992-05-01 12:00:00,21.196666666666665,-1.538333333333333
1992-06-01 12:00:00,25.756666666666664,-0.215
1992-07-01 12:00:00,28.14,0.3466666666666667
1992-08-01 12:00:00,28.328333333333333,0.17
1992-09-01 12:00:00,27.381666666666664,0.29
1992-10-01 12:00:00,22.77333333333333,-1.2716666666666667
1992-11-01 12:00:00,20.48333333333333,-0.5833333333333334
1992-12-01 12:00:00,17.778333333333332,-1.255
1993-01-01 12:00:00,18.575,0.1616666666666666
1993-02-01 12:00:00,16.398333333333333,-1.245
